Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3387-7069-1425-73247,"Sep 5, 2021",3:41:02 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a11q,US,MI,48706,USD,-0.82,0.841700,EUR,-0.69,,
GPA.3384-8585-9205-98220,"Sep 5, 2021",4:19:04 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,OnePlus6T,IT,TO,10143,EUR,2.08,1.000000,EUR,2.08,,
GPA.3315-1236-2764-89662,"Sep 5, 2021",4:30:59 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,d1q,US,TN,37042,USD,3.49,0.841650,EUR,2.94,,
GPA.3315-1236-2764-89662,"Sep 5, 2021",4:30:59 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,d1q,US,TN,37042,USD,-0.52,0.841650,EUR,-0.44,,
GPA.3359-7585-3603-98279,"Sep 5, 2021",5:05:44 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond1q,CA,AB,T5X 4L4,CAD,4.49,0.672000,EUR,3.02,,
GPA.3359-7585-3603-98279,"Sep 5, 2021",5:05:44 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond1q,CA,AB,T5X 4L4,CAD,-0.67,0.672000,EUR,-0.45,,
GPA.3335-3914-9716-81294,"Sep 5, 2021",5:05:56 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond1q,CA,AB,T5X 4L4,CAD,7.49,0.672000,EUR,5.03,,
GPA.3335-3914-9716-81294,"Sep 5, 2021",5:05:56 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond1q,CA,AB,T5X 4L4,CAD,-1.12,0.672000,EUR,-0.75,,
GPA.3310-7595-8651-91099,"Sep 5, 2021",6:48:07 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c1q,US,WY,82718,USD,5.49,0.841400,EUR,4.62,,
GPA.3310-7595-8651-91099,"Sep 5, 2021",6:48:07 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c1q,US,WY,82718,USD,-0.82,0.841400,EUR,-0.69,,
GPA.3314-3035-7442-00623,"Sep 5, 2021",7:10:27 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,starqltesq,US,MI,49345,USD,3.49,0.841850,EUR,2.94,,
GPA.3314-3035-7442-00623,"Sep 5, 2021",7:10:27 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,starqltesq,US,MI,49345,USD,-0.52,0.841850,EUR,-0.44,,
GPA.3303-4708-6380-87314,"Sep 5, 2021",7:51:25 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,DRD_sprout,US,KY,41175,USD,5.49,0.841850,EUR,4.62,,
GPA.3303-4708-6380-87314,"Sep 5, 2021",7:51:25 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,DRD_sprout,US,KY,41175,USD,-0.82,0.841850,EUR,-0.69,,
GPA.3306-2925-9958-19189,"Sep 5, 2021",8:31:49 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,surfna,US,PA,18252,USD,5.49,0.842000,EUR,4.62,,
GPA.3306-2925-9958-19189,"Sep 5, 2021",8:31:49 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,surfna,US,PA,18252,USD,-0.82,0.842000,EUR,-0.69,,
GPA.3324-6779-5866-69018,"Sep 5, 2021",8:34:39 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dream2qltesq,US,PA,18252,USD,5.49,0.842000,EUR,4.62,,
GPA.3324-6779-5866-69018,"Sep 5, 2021",8:34:39 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dream2qltesq,US,PA,18252,USD,-0.82,0.842000,EUR,-0.69,,
GPA.3381-3175-4087-83447,"Sep 6, 2021",1:18:51 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mdh10xlm,US,LA,70544,USD,3.49,0.842300,EUR,2.94,,
GPA.3381-3175-4087-83447,"Sep 6, 2021",1:18:51 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mdh10xlm,US,LA,70544,USD,-0.52,0.842300,EUR,-0.44,,
GPA.3334-7403-9298-75289,"Sep 6, 2021",2:10:47 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,davinci,US,FL,32615,USD,5.49,0.843000,EUR,4.63,,
